1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
MM500,1,3,1,0,2,42,348,221,152,38,Jasuni,1,2,1,0,3,42,199,178,144,53,Nemesis,1,3,3,1,2,53,211,299,152,29,Szeth,1,4,1,0,2,51,288,227,117,47,KingONerds,2,1,3,1,4,26,274,359,153,50,Samoose,2,2,3,0,6,4,339,422,159,39,marcman!,1,3,3,0,4,34,604,317,135,38,CDJ,2,1,3,0,2,19,189,326,129,35
Zenith,2,0,3,1,2,42,136,335,122,28,ZERO,2,0,3,0,2,38,105,368,158,22,Ben,2,4,2,1,2,55,265,228,125,41,RABBITEARD,2,2,3,1,1,54,138,258,141,30,Force,2,3,3,1,3,26,420,329,136,57,US8,1,2,2,0,6,4,308,368,143,26,US8,2,5,3,0,4,57,311,484,172,31,RABBITEARD,1,3,2,0,2,40,265,300,153,34
marcman!,2,1,3,0,2,39,202,285,104,43,US8,2,2,3,0,3,42,220,428,146,31,Borkins,1,2,2,0,2,55,347,264,114,40,NINJAGOLDO,2,0,3,0,2,51,231,377,180,26,Player 4,1,0,2,0,4,26,164,342,160,57,XY-10,2,2,3,0,2,43,262,362,160,30,Samoose,1,2,2,0,4,57,415,296,154,40,XY-10,2,2,3,2,2,40,243,343,152,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZERO,2,2,3,1,4,54,205,364,134,38,Fernando,1,3,3,0,2,45,250,322,118,30,MM500,2,1,3,0,6,10,416,361,131,37,XY-10,2,2,3,0,3,24,275,442,179,27,Pawn,2,1,2,1,2,29,145,208,112,30,RABBITEARD,1,2,3,0,4,13,435,284,157,39,Szeth,2,0,3,0,2,20,98,387,153,16,Samoose,1,2,2,1,3,49,476,260,119,38
TAG,2,1,3,0,3,55,391,366,151,45,Szeth,2,1,3,0,3,42,227,405,139,38,SOTRH,2,3,3,0,3,12,411,348,155,55,Fox,2,0,3,1,1,38,128,226,140,42,Player 2,1,3,2,1,4,41,285,267,133,37,Zenith,2,3,3,1,4,46,367,432,170,37,REDPANTS,2,1,3,0,1,56,107,399,149,32,ZERO,2,2,3,0,3,32,134,207,90,25
KingONerds,1,1,2,0,4,54,299,371,163,41,Ben,1,3,1,0,3,42,435,194,122,37,US8,1,6,2,1,6,10,445,441,166,28,Nemesis,1,5,2,1,3,24,571,284,163,57,ZERO,2,2,3,0,4,41,254,307,127,27,Sharknado,1,2,2,2,4,46,458,351,143,37,Ben,1,2,1,1,2,20,372,232,147,43,RABBITEARD,1,3,3,0,2,47,137,381,151,31
CDJ,1,4,2,1,4,54,549,366,159,45,Sharknado,2,3,3,0,2,37,274,320,132,36,Fox,1,0,3,0,2,36,174,353,132,23,youngster,1,0,2,1,3,24,233,310,178,35,US8,1,2,2,0,4,41,223,198,171,19,Player 4,2,0,3,1,2,58,179,386,153,33,Precision,1,4,1,0,2,20,482,126,126,56,Zenith,2,2,3,1,3,49,330,376,136,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemesis,1,4,1,1,2,35,323,235,136,40,youngster,2,1,3,0,3,20,303,375,148,30,KingONerds,1,2,1,2,5,9,341,209,127,32,Fernando,1,1,3,0,2,56,141,322,154,25,youngster,1,1,3,0,3,0,168,439,178,30,NOTAP,2,2,3,0,4,8,207,435,164,18,JMZ,2,2,3,1,3,34,305,333,150,24,Sheik,1,2,2,1,3,44,483,267,199,40
